"Test Case ID","Module / Feature","Test Scenario Description","Selenium Automation Steps","Locator Strategy","Input Data / Parameters","Expected Result","Priority","Execution Status"
"TC_AUTH_019","Auth - Session","Verify localStorage session persistence on page refresh","1. Log in user 2. Refresh browser page","window.localStorage","smart_playground_user","User remains logged in, top navbar retains user badge","High","Ready for Automation"
"TC_AUTH_020","Auth - Logout","Verify sign out functionality from Profile Modal","1. Open Profile Modal 2. Click Sign Out / Switch Account button","id=btn-logout","None","Session cleared from localStorage, navbar restores Sign In / Sign Up","High","Ready for Automation"
"TC_AUTH_021","Auth - Profile Modal","Verify opening Profile modal by clicking username badge","1. Log in 2. Click element with id 'user-profile-btn'","id=user-profile-btn","None","Profile modal opens displaying user details","Medium","Ready for Automation"
"TC_AUTH_022","Auth - Profile Modal","Verify opening Profile modal by clicking Reward Points badge","1. Log in 2. Click element with id 'user-points-badge'","id=user-points-badge","None","Profile modal opens displaying reward points stats","Medium","Ready for Automation"
"TC_AUTH_023","Auth - Profile Modal","Verify user details rendered inside Profile Modal","1. Open Profile Modal 2. Verify text in #prof-name, #prof-email, #prof-phone","id=prof-name","None","Displays correct Name, Email, Phone, and Location","Medium","Ready for Automation"
"TC_AUTH_024","Auth - Profile Modal","Verify closing Profile modal via close icon","1. Open Profile Modal 2. Click id 'profile-close-btn'","id=profile-close-btn","None","Profile modal closes properly","Low","Ready for Automation"
"TC_AUTH_025","Auth - Bottom Card","Verify Quick Account Creation form in bottom section when logged out","1. Scroll to bottom-account-section 2. Verify form visibility","id=bottom-logged-out-box","None","Create Your Account form is visible","Medium","Ready for Automation"
"TC_AUTH_026","Auth - Bottom Card","Verify submitting bottom Quick Account Creation form","1. Fill bottom form fields 2. Click Create Account","id=bottom-signup-form","Name: Alice, Phone: 9776655443, Pass: mypass","Account created, 100 Pts earned, bottom card switches to Saved Account view","High","Ready for Automation"
"TC_AUTH_027","Auth - Bottom Card","Verify Saved Account view in bottom section when logged in","1. Log in 2. Scroll to bottom account section","id=bottom-logged-in-box","None","Displays ACCOUNT SAVED AND LOGGED IN card with name and points","Medium","Ready for Automation"
"TC_AUTH_028","Auth - Bottom Card","Verify View Full Profile button on bottom Saved Account card","1. Log in 2. Click View Full Profile in bottom card","id=btn-bottom-view-profile","None","Profile modal opens smoothly","Low","Ready for Automation"
"TC_AUTH_029","Auth - Bottom Card","Verify Sign In Existing Account button on bottom card","1. Log out 2. Click Sign In Existing Account in bottom card","id=btn-bottom-open-login","None","Sign In modal opens","Low","Ready for Automation"
"TC_AUTH_030","Auth - Bonus Points","Verify 100 Signup Reward Points awarded to new account","1. Register new account 2. Check reward_points attribute in session","id=user-points-badge","None","Points badge displays 100 Pts","High","Ready for Automation"
"TC_AUTH_031","Auth - Input Security","Verify HTML script tag injection resistance in Registration Name","1. Enter script tag in Name field 2. Submit form","id=signup-name","Name: <script>alert(1)</script>","Name rendered as plain string without executing script","High","Ready for Automation"
"TC_AUTH_032","Auth - Input Security","Verify SQL injection string handling in Login field","1. Enter SQL string in Phone 2. Submit form","id=login-phone","Phone: ' OR '1'='1","Sanitized safely by backend API or fallback handling","High","Ready for Automation"
"TC_AUTH_033","Auth - Phone Format","Verify phone number numeric string handling","1. Enter 10 digit number 2. Submit","id=signup-phone","Phone: 9876543210","Phone saved accurately without truncation","Medium","Ready for Automation"
"TC_AUTH_034","Auth - Password Visibility","Verify password input field type is password","Inspect attribute type of #login-password and #signup-password","css=input[type='password']","None","Type attribute is password masking typed characters","Medium","Ready for Automation"
"TC_AUTH_035","Auth - Trim Whitespace","Verify trailing whitespace trimmed from login inputs","1. Enter whitespace around phone input 2. Submit","id=login-phone","Phone: 9876543210 ","String trimmed before sending","Low","Ready for Automation"
"TC_AUTH_036","Auth - Case Insensitivity","Verify email login is case insensitive","1. Enter uppercase email 2. Submit","id=login-phone","Email: JOHN.DOE@EXAMPLE.COM","Recognizes user account regardless of letter casing","Medium","Ready for Automation"
"TC_AUTH_037","Auth - Help Modal","Verify Help and Support modal opening from top navbar","1. Click icon button with id 'btn-help'","id=btn-help","None","Help and Customer Support modal opens","Low","Ready for Automation"
"TC_AUTH_038","Auth - Help Modal","Verify FAQs and support contact info displayed in Help modal","1. Open Help modal 2. Check FAQ text and Helpline phone number","id=help-modal","None","Contains FAQ questions and 24/7 Helpline: +91 98765 43210","Low","Ready for Automation"
"TC_AUTH_039","Auth - Help Modal","Verify closing Help modal using close button","1. Open Help modal 2. Click id 'help-close-btn'","id=help-close-btn","None","Help modal closes","Low","Ready for Automation"
"TC_AUTH_040","Auth - Notifications","Verify Notification button toast message","1. Click bell icon with id 'btn-notifications'","id=btn-notifications","None","Toast message shown: No new notifications","Low","Ready for Automation"
"TC_AUTH_041","Auth - UI Responsiveness","Verify Auth navbar rendering on small screen viewports","Set browser window width to 375px","css=header.navbar","Width: 375px","Navbar controls adapt smoothly without breaking layout","Medium","Ready for Automation"
"TC_AUTH_042","Auth - ESC Key","Verify pressing ESC key does not crash open modals","1. Open Sign In modal 2. Press ESC key","id=login-modal","Key: ESC","Page remains stable","Low","Ready for Automation"
"TC_AUTH_043","Auth - Modal Overlay","Verify dark overlay backdrop behind open auth modals","1. Open Sign Up modal 2. Verify modal-overlay styling","css=.modal-overlay.open","None","Semi-transparent dark backdrop active","Low","Ready for Automation"
"TC_AUTH_044","Auth - Multiple Signups","Verify registering a second user updates active local session","1. Register User A 2. Log out 3. Register User B","id=signup-form","User B details","User B session active with User B name in navbar","Medium","Ready for Automation"
"TC_AUTH_045","Auth - Logout Cleanup","Verify logout clears profile modal content and resets UI","1. Log in 2. Log out 3. Verify navbar UI state","id=auth-buttons","None","Sign In and Sign Up buttons restored in top navbar","High","Ready for Automation"
"TC_GND_001","Playgrounds and Search Engine","Verify default display of all available arena cards on page load","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify default display of all available arena cards on page load","css=[data-test='tc_gnd_1']","Test Param: Verify default display of all available arena cards on page load","Web app UI and state update properly for: Verify default display of all available arena cards on page load","High","Ready for Automation"
"TC_GND_002","Playgrounds and Search Engine","Verify total venue count badge rendering in playgrounds tab","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify total venue count badge rendering in playgrounds tab","css=[data-test='tc_gnd_2']","Test Param: Verify total venue count badge rendering in playgrounds tab","Web app UI and state update properly for: Verify total venue count badge rendering in playgrounds tab","Medium","Ready for Automation"
"TC_GND_003","Playgrounds and Search Engine","Filter playgrounds by Football sport pill click","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Filter playgrounds by Football sport pill click","css=[data-test='tc_gnd_3']","Test Param: Filter playgrounds by Football sport pill click","Web app UI and state update properly for: Filter playgrounds by Football sport pill click","Low","Ready for Automation"
"TC_GND_004","Playgrounds and Search Engine","Filter playgrounds by Cricket sport pill click","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Filter playgrounds by Cricket sport pill click","css=[data-test='tc_gnd_4']","Test Param: Filter playgrounds by Cricket sport pill click","Web app UI and state update properly for: Filter playgrounds by Cricket sport pill click","High","Ready for Automation"
"TC_GND_005","Playgrounds and Search Engine","Filter playgrounds by Badminton sport pill click","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Filter playgrounds by Badminton sport pill click","css=[data-test='tc_gnd_5']","Test Param: Filter playgrounds by Badminton sport pill click","Web app UI and state update properly for: Filter playgrounds by Badminton sport pill click","Medium","Ready for Automation"
"TC_GND_006","Playgrounds and Search Engine","Filter playgrounds by Basketball sport pill click","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Filter playgrounds by Basketball sport pill click","css=[data-test='tc_gnd_6']","Test Param: Filter playgrounds by Basketball sport pill click","Web app UI and state update properly for: Filter playgrounds by Basketball sport pill click","Low","Ready for Automation"
"TC_GND_007","Playgrounds and Search Engine","Filter playgrounds by Tennis sport pill click","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Filter playgrounds by Tennis sport pill click","css=[data-test='tc_gnd_7']","Test Param: Filter playgrounds by Tennis sport pill click","Web app UI and state update properly for: Filter playgrounds by Tennis sport pill click","High","Ready for Automation"
"TC_GND_008","Playgrounds and Search Engine","Reset filter to All Sports pill click","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Reset filter to All Sports pill click","css=[data-test='tc_gnd_8']","Test Param: Reset filter to All Sports pill click","Web app UI and state update properly for: Reset filter to All Sports pill click","Medium","Ready for Automation"
"TC_GND_009","Playgrounds and Search Engine","Verify search input filtering by venue name Marina","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search input filtering by venue name Marina","css=[data-test='tc_gnd_9']","Test Param: Verify search input filtering by venue name Marina","Web app UI and state update properly for: Verify search input filtering by venue name Marina","Low","Ready for Automation"
"TC_GND_010","Playgrounds and Search Engine","Verify search input filtering by location Anna Nagar","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search input filtering by location Anna Nagar","css=[data-test='tc_gnd_10']","Test Param: Verify search input filtering by location Anna Nagar","Web app UI and state update properly for: Verify search input filtering by location Anna Nagar","High","Ready for Automation"
"TC_GND_011","Playgrounds and Search Engine","Verify search input filtering by sport keyword Badminton","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search input filtering by sport keyword Badminton","css=[data-test='tc_gnd_11']","Test Param: Verify search input filtering by sport keyword Badminton","Web app UI and state update properly for: Verify search input filtering by sport keyword Badminton","Medium","Ready for Automation"
"TC_GND_012","Playgrounds and Search Engine","Verify search input case insensitive matching","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search input case insensitive matching","css=[data-test='tc_gnd_12']","Test Param: Verify search input case insensitive matching","Web app UI and state update properly for: Verify search input case insensitive matching","Low","Ready for Automation"
"TC_GND_013","Playgrounds and Search Engine","Verify search query with no matching venues shows empty state message","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search query with no matching venues shows empty state message","css=[data-test='tc_gnd_13']","Test Param: Verify search query with no matching venues shows empty state message","Web app UI and state update properly for: Verify search query with no matching venues shows empty state message","High","Ready for Automation"
"TC_GND_014","Playgrounds and Search Engine","Verify clearing search input restores full playground list","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify clearing search input restores full playground list","css=[data-test='tc_gnd_14']","Test Param: Verify clearing search input restores full playground list","Web app UI and state update properly for: Verify clearing search input restores full playground list","Medium","Ready for Automation"
"TC_GND_015","Playgrounds and Search Engine","Verify clicking heart icon adds venue to favorites","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify clicking heart icon adds venue to favorites","css=[data-test='tc_gnd_15']","Test Param: Verify clicking heart icon adds venue to favorites","Web app UI and state update properly for: Verify clicking heart icon adds venue to favorites","Low","Ready for Automation"
"TC_GND_016","Playgrounds and Search Engine","Verify clicking heart icon again removes venue from favorites","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify clicking heart icon again removes venue from favorites","css=[data-test='tc_gnd_16']","Test Param: Verify clicking heart icon again removes venue from favorites","Web app UI and state update properly for: Verify clicking heart icon again removes venue from favorites","High","Ready for Automation"
"TC_GND_017","Playgrounds and Search Engine","Verify Favorites pill count badge increments when adding favorite","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify Favorites pill count badge increments when adding favorite","css=[data-test='tc_gnd_17']","Test Param: Verify Favorites pill count badge increments when adding favorite","Web app UI and state update properly for: Verify Favorites pill count badge increments when adding favorite","Medium","Ready for Automation"
"TC_GND_018","Playgrounds and Search Engine","Verify Favorites pill count badge decrements when removing favorite","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify Favorites pill count badge decrements when removing favorite","css=[data-test='tc_gnd_18']","Test Param: Verify Favorites pill count badge decrements when removing favorite","Web app UI and state update properly for: Verify Favorites pill count badge decrements when removing favorite","Low","Ready for Automation"
"TC_GND_019","Playgrounds and Search Engine","Verify clicking Favorites filter pill displays only favorited venues","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify clicking Favorites filter pill displays only favorited venues","css=[data-test='tc_gnd_19']","Test Param: Verify clicking Favorites filter pill displays only favorited venues","Web app UI and state update properly for: Verify clicking Favorites filter pill displays only favorited venues","High","Ready for Automation"
"TC_GND_020","Playgrounds and Search Engine","Verify Favorites pill shows empty state when no venues favorited","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify Favorites pill shows empty state when no venues favorited","css=[data-test='tc_gnd_20']","Test Param: Verify Favorites pill shows empty state when no venues favorited","Web app UI and state update properly for: Verify Favorites pill shows empty state when no venues favorited","Medium","Ready for Automation"
"TC_GND_021","Playgrounds and Search Engine","Verify Nearby Within 5KM Haversine toggle checkbox interaction","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify Nearby Within 5KM Haversine toggle checkbox interaction","css=[data-test='tc_gnd_21']","Test Param: Verify Nearby Within 5KM Haversine toggle checkbox interaction","Web app UI and state update properly for: Verify Nearby Within 5KM Haversine toggle checkbox interaction","Low","Ready for Automation"
"TC_GND_022","Playgrounds and Search Engine","Verify nearby distance filtering calculation via Haversine logic","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify nearby distance filtering calculation via Haversine logic","css=[data-test='tc_gnd_22']","Test Param: Verify nearby distance filtering calculation via Haversine logic","Web app UI and state update properly for: Verify nearby distance filtering calculation via Haversine logic","High","Ready for Automation"
"TC_GND_023","Playgrounds and Search Engine","Verify playground card title rendering","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify playground card title rendering","css=[data-test='tc_gnd_23']","Test Param: Verify playground card title rendering","Web app UI and state update properly for: Verify playground card title rendering","Medium","Ready for Automation"
"TC_GND_024","Playgrounds and Search Engine","Verify playground card address rendering with pin icon","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify playground card address rendering with pin icon","css=[data-test='tc_gnd_24']","Test Param: Verify playground card address rendering with pin icon","Web app UI and state update properly for: Verify playground card address rendering with pin icon","Low","Ready for Automation"
"TC_GND_025","Playgrounds and Search Engine","Verify playground card rating star and review count rendering","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify playground card rating star and review count rendering","css=[data-test='tc_gnd_25']","Test Param: Verify playground card rating star and review count rendering","Web app UI and state update properly for: Verify playground card rating star and review count rendering","High","Ready for Automation"
"TC_GND_026","Playgrounds and Search Engine","Verify playground card hourly price rate display","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify playground card hourly price rate display","css=[data-test='tc_gnd_26']","Test Param: Verify playground card hourly price rate display","Web app UI and state update properly for: Verify playground card hourly price rate display","Medium","Ready for Automation"
"TC_GND_027","Playgrounds and Search Engine","Verify playground card sports tag badge","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify playground card sports tag badge","css=[data-test='tc_gnd_27']","Test Param: Verify playground card sports tag badge","Web app UI and state update properly for: Verify playground card sports tag badge","Low","Ready for Automation"
"TC_GND_028","Playgrounds and Search Engine","Verify venue image loading fallback handling","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify venue image loading fallback handling","css=[data-test='tc_gnd_28']","Test Param: Verify venue image loading fallback handling","Web app UI and state update properly for: Verify venue image loading fallback handling","High","Ready for Automation"
"TC_GND_029","Playgrounds and Search Engine","Verify Book Slot Now button presence on every card","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify Book Slot Now button presence on every card","css=[data-test='tc_gnd_29']","Test Param: Verify Book Slot Now button presence on every card","Web app UI and state update properly for: Verify Book Slot Now button presence on every card","Medium","Ready for Automation"
"TC_GND_030","Playgrounds and Search Engine","Verify clicking Book Slot Now opens booking modal for correct venue","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify clicking Book Slot Now opens booking modal for correct venue","css=[data-test='tc_gnd_30']","Test Param: Verify clicking Book Slot Now opens booking modal for correct venue","Web app UI and state update properly for: Verify clicking Book Slot Now opens booking modal for correct venue","Low","Ready for Automation"
"TC_GND_031","Playgrounds and Search Engine","Verify ground data loading from API endpoint get_playgrounds.php","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify ground data loading from API endpoint get_playgrounds.php","css=[data-test='tc_gnd_31']","Test Param: Verify ground data loading from API endpoint get_playgrounds.php","Web app UI and state update properly for: Verify ground data loading from API endpoint get_playgrounds.php","High","Ready for Automation"
"TC_GND_032","Playgrounds and Search Engine","Verify offline fallback data loading when API is unreachable","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify offline fallback data loading when API is unreachable","css=[data-test='tc_gnd_32']","Test Param: Verify offline fallback data loading when API is unreachable","Web app UI and state update properly for: Verify offline fallback data loading when API is unreachable","Medium","Ready for Automation"
"TC_GND_033","Playgrounds and Search Engine","Verify rating sorting order in venue listing grid","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify rating sorting order in venue listing grid","css=[data-test='tc_gnd_33']","Test Param: Verify rating sorting order in venue listing grid","Web app UI and state update properly for: Verify rating sorting order in venue listing grid","Low","Ready for Automation"
"TC_GND_034","Playgrounds and Search Engine","Verify responsive grid layout for venue cards on desktop","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify responsive grid layout for venue cards on desktop","css=[data-test='tc_gnd_34']","Test Param: Verify responsive grid layout for venue cards on desktop","Web app UI and state update properly for: Verify responsive grid layout for venue cards on desktop","High","Ready for Automation"
"TC_GND_035","Playgrounds and Search Engine","Verify responsive grid layout for venue cards on tablet view","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify responsive grid layout for venue cards on tablet view","css=[data-test='tc_gnd_35']","Test Param: Verify responsive grid layout for venue cards on tablet view","Web app UI and state update properly for: Verify responsive grid layout for venue cards on tablet view","Medium","Ready for Automation"
"TC_GND_036","Playgrounds and Search Engine","Verify responsive grid layout for venue cards on mobile view","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify responsive grid layout for venue cards on mobile view","css=[data-test='tc_gnd_36']","Test Param: Verify responsive grid layout for venue cards on mobile view","Web app UI and state update properly for: Verify responsive grid layout for venue cards on mobile view","Low","Ready for Automation"
"TC_GND_037","Playgrounds and Search Engine","Verify favorite state retention in localStorage smart_playground_favs","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify favorite state retention in localStorage smart_playground_favs","css=[data-test='tc_gnd_37']","Test Param: Verify favorite state retention in localStorage smart_playground_favs","Web app UI and state update properly for: Verify favorite state retention in localStorage smart_playground_favs","High","Ready for Automation"
"TC_GND_038","Playgrounds and Search Engine","Verify hover animation on playground cards","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify hover animation on playground cards","css=[data-test='tc_gnd_38']","Test Param: Verify hover animation on playground cards","Web app UI and state update properly for: Verify hover animation on playground cards","Medium","Ready for Automation"
"TC_GND_039","Playgrounds and Search Engine","Verify search bar clear button icon behavior","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search bar clear button icon behavior","css=[data-test='tc_gnd_39']","Test Param: Verify search bar clear button icon behavior","Web app UI and state update properly for: Verify search bar clear button icon behavior","Low","Ready for Automation"
"TC_GND_040","Playgrounds and Search Engine","Verify rapid sport pill switching performance","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify rapid sport pill switching performance","css=[data-test='tc_gnd_40']","Test Param: Verify rapid sport pill switching performance","Web app UI and state update properly for: Verify rapid sport pill switching performance","High","Ready for Automation"
"TC_GND_041","Playgrounds and Search Engine","Verify venue address tooltip or text wrapping","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify venue address tooltip or text wrapping","css=[data-test='tc_gnd_41']","Test Param: Verify venue address tooltip or text wrapping","Web app UI and state update properly for: Verify venue address tooltip or text wrapping","Medium","Ready for Automation"
"TC_GND_042","Playgrounds and Search Engine","Verify price display currency symbol formatting Rupee","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify price display currency symbol formatting Rupee","css=[data-test='tc_gnd_42']","Test Param: Verify price display currency symbol formatting Rupee","Web app UI and state update properly for: Verify price display currency symbol formatting Rupee","Low","Ready for Automation"
"TC_GND_043","Playgrounds and Search Engine","Verify search input special character handling","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify search input special character handling","css=[data-test='tc_gnd_43']","Test Param: Verify search input special character handling","Web app UI and state update properly for: Verify search input special character handling","High","Ready for Automation"
"TC_GND_044","Playgrounds and Search Engine","Verify navbar tab active state highlight on Playgrounds tab","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify navbar tab active state highlight on Playgrounds tab","css=[data-test='tc_gnd_44']","Test Param: Verify navbar tab active state highlight on Playgrounds tab","Web app UI and state update properly for: Verify navbar tab active state highlight on Playgrounds tab","Medium","Ready for Automation"
"TC_GND_045","Playgrounds and Search Engine","Verify playground grid auto-update on filter change","1. Open http://127.0.0.1:8080/ 2. Navigate to Playgrounds and Search Engine 3. Perform test: Verify playground grid auto-update on filter change","css=[data-test='tc_gnd_45']","Test Param: Verify playground grid auto-update on filter change","Web app UI and state update properly for: Verify playground grid auto-update on filter change","Low","Ready for Automation"
"TC_SLOT_001","Real-Time Slot Locking and Booking","Verify opening booking modal populates ground name in header","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify opening booking modal populates ground name in header","css=[data-test='tc_slot_1']","Test Param: Verify opening booking modal populates ground name in header","Web app UI and state update properly for: Verify opening booking modal populates ground name in header","High","Ready for Automation"
"TC_SLOT_002","Real-Time Slot Locking and Booking","Verify opening booking modal populates ground sport category in header","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify opening booking modal populates ground sport category in header","css=[data-test='tc_slot_2']","Test Param: Verify opening booking modal populates ground sport category in header","Web app UI and state update properly for: Verify opening booking modal populates ground sport category in header","Medium","Ready for Automation"
"TC_SLOT_003","Real-Time Slot Locking and Booking","Verify date picker defaults to current date","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify date picker defaults to current date","css=[data-test='tc_slot_3']","Test Param: Verify date picker defaults to current date","Web app UI and state update properly for: Verify date picker defaults to current date","Low","Ready for Automation"
